family,target_id,distribution,seed,n,width,T,S,eta,error,uniform_error,W_norm,v_norm
plane_q2,4,adversarial_search,4,3,8,1200,32,0.05,0.020600783207241527,0.375,3.6626313372356916,2.453249017931383
plane_q2,5,uniform,0,3,8,1200,32,0.05,0.0,0.0,4.868020586433222,4.301218807594813
plane_q2,5,uniform,1,3,8,1200,32,0.05,0.125,0.125,4.279067497263998,4.116138894244896
plane_q2,5,uniform,2,3,8,1200,32,0.05,0.0,0.0,4.856443806608348,4.416409595356847
plane_q2,5,uniform,3,3,8,1200,32,0.05,0.625,0.625,2.7035356542780087,0.27215692606630354
plane_q2,5,uniform,4,3,8,1200,32,0.05,0.0,0.0,5.107988293486525,4.379410150916317
plane_q2,5,sparse_mixture,0,3,8,1200,32,0.05,0.0625,0.625,3.259432987296575,2.226487462304904
plane_q2,5,sparse_mixture,1,3,8,1200,32,0.05,0.037500000000000006,0.375,3.480664911551319,3.2218977695955022
plane_q2,5,sparse_mixture,2,3,8,1200,32,0.05,0.025,0.25,3.2883224055245113,2.598745257062109
plane_q2,5,sparse_mixture,3,3,8,1200,32,0.05,0.075,0.75,3.609300328709891,1.6769508599255016
plane_q2,5,sparse_mixture,4,3,8,1200,32,0.05,0.05,0.5,3.3044466657548606,1.8753916665639543
plane_q2,5,adversarial_search,0,3,8,1200,32,0.05,0.1,0.125,4.681008396755079,4.070323674081313
plane_q2,5,adversarial_search,1,3,8,1200,32,0.05,0.1,0.125,4.461171642905986,4.2946846618084535
plane_q2,5,adversarial_search,2,3,8,1200,32,0.05,0.16666666666666666,0.125,4.454712754874853,3.9856352497133254
plane_q2,5,adversarial_search,3,3,8,1200,32,0.05,0.5,0.625,2.8030005484378586,0.5769634744651597
plane_q2,5,adversarial_search,4,3,8,1200,32,0.05,0.0,0.0,5.142761442119681,4.408877980367155
plane_q2,6,uniform,0,3,8,1200,32,0.05,0.0,0.0,4.373008080826384,3.7042700288281942
plane_q2,6,uniform,1,3,8,1200,32,0.05,0.0,0.0,4.1331344847796645,3.9694236600004142
plane_q2,6,uniform,2,3,8,1200,32,0.05,0.0,0.0,4.3471557003759935,3.8827531045058725
plane_q2,6,uniform,3,3,8,1200,32,0.05,0.0,0.0,4.879657478500304,3.6744514081993813
plane_q2,6,uniform,4,3,8,1200,32,0.05,0.0,0.0,4.620699748262016,3.782713010882537
plane_q2,6,sparse_mixture,0,3,8,1200,32,0.05,0.0,0.0,3.6931217396087415,2.865988149948079
plane_q2,6,sparse_mixture,1,3,8,1200,32,0.05,0.0,0.0,3.262241873254784,3.0569250537233628
plane_q2,6,sparse_mixture,2,3,8,1200,32,0.05,0.0125,0.125,3.5220685467333386,2.923414041309382
plane_q2,6,sparse_mixture,3,3,8,1200,32,0.05,0.05,0.5,3.935487930380084,2.269052507978701
plane_q2,6,sparse_mixture,4,3,8,1200,32,0.05,0.0125,0.125,3.76115724071402,2.609919335291981
plane_q2,6,adversarial_search,0,3,8,1200,32,0.05,0.0,0.0,3.9590960691836807,3.216793170302552
plane_q2,6,adversarial_search,1,3,8,1200,32,0.05,0.03749088703933812,0.25,3.3785783348525777,3.200805788515056
plane_q2,6,adversarial_search,2,3,8,1200,32,0.05,1.555760753296513e-06,0.125,3.8536804274359677,3.3270531705478423
plane_q2,6,adversarial_search,3,3,8,1200,32,0.05,0.0,0.0,4.316439304251913,2.869173610783845
plane_q2,6,adversarial_search,4,3,8,1200,32,0.05,0.003681383645385207,0.25,4.031275408553966,2.973651471097655
