trial,tau,mean_correlation,upper_bound,changed_outputs,departed_transcripts
34,0.46845065406146996,1.734723475976807e-17,1.8698640867676009,0,0
35,0.3131721395864386,-1.3877787807814457e-17,3.7691655014406336,0,2
36,0.33441257835984667,0.05341880341880344,3.3467810970530594,1,3
37,0.5130187736180857,-6.938893903907228e-18,1.6147783841168288,0,0
38,0.23905845612623156,0.09188034188034186,6.228534247511107,1,2
39,0.100526800219162,0.032051282051282055,33.663546547118955,4,13
40,0.6644104875582983,-3.469446951953614e-17,1.098032885205453,0,0
41,0.37862510192867876,3.8163916471489756e-17,2.6844837486044417,0,0
42,0.354996020526227,-6.938893903907228e-18,3.0076545655898514,0,0
43,0.6667497907411793,6.938893903907228e-18,1.0926885046673376,0,0
44,0.4972069719185857,3.469446951953614e-18,1.697465549121556,0,0
45,0.6959023690497151,-3.469446951953614e-17,1.0305416977007358,0,0
46,0.41425781717731625,0.0,2.297692183737882,0,0
47,0.5878821864708168,2.6020852139652106e-17,1.3096026479370773,0,0
48,0.354362197259406,-3.469446951953614e-17,3.0172236698658152,0,0
49,0.19669501043781956,-0.017094017094017096,9.040541694985965,2,4
50,0.21543978791093765,-0.008547008547008527,7.591568642379911,1,2
51,0.5866894667585822,2.0816681711721685e-17,1.3135690795906412,0,0
52,0.4351765830659748,-1.3877787807814457e-17,2.1135417735887745,0,0
53,0.5641263764966609,6.938893903907228e-18,1.3934079281304461,0,0
54,0.4884113365195855,7.806255641895632e-18,1.746977419877863,0,0
55,0.34281132762156724,-5.204170427930421e-18,3.2010169867954503,0,0
56,0.2576571126685909,2.3418766925686896e-17,5.4084167059955,0,1
57,0.6605677475578368,9.540979117872439e-18,1.1069355762744824,0,0
58,0.4588388294432702,1.3877787807814457e-17,1.934840000147303,0,0
59,0.5327937337630884,-7.806255641895632e-18,1.521546607169039,0,0
60,0.5450498660528096,0.0,1.4687874629548734,0,0
61,0.1665707433808055,-0.1688034188034188,12.47403384313477,5,8
62,0.23472820474453593,0.047008547008547015,6.447984664032135,3,4
63,0.5365320677688151,-1.5612511283791264e-17,1.5050703785887274,0,0
64,0.4536867745177827,-6.071532165918825e-18,1.9713803099276226,0,0
65,0.5174728653344347,3.122502256758253e-17,1.592843204508224,0,0
66,0.3773194118862335,5.204170427930421e-18,2.700771913372089,0,0
67,0.5611321460998028,-2.7755575615628914e-17,1.4047328095003722,0,0
68,0.18442187621543782,0.017094017094017106,10.237782096048639,2,3
69,0.12315032178833368,0.19444444444444442,22.54299825449523,7,11
70,0.10343879088925693,-0.08333333333333334,31.813445090655843,6,10
71,0.4825284145382021,1.3877787807814457e-17,1.7816149853998584,0,0
72,0.4625894720546879,1.3877787807814457e-17,1.9090034417728083,0,0
73,0.3939694200665302,-1.3877787807814457e-17,2.505037397215162,0,0
74,0.26327270647127754,-8.673617379884035e-18,5.194296228549274,0,0
75,0.3347808175066642,-3.469446951953614e-18,3.3401593206971354,0,1
76,0.4290293414129322,2.7755575615628914e-17,2.164871830595264,0,0
77,0.16463371648962694,0.057692307692307696,12.761360593059205,5,9
78,0.481496424178338,6.938893903907228e-18,1.7878224062867418,0,0
79,0.6462496785827787,-3.469446951953614e-18,1.1415170265707877,0,0
80,0.6094333084252997,-6.938893903907228e-18,1.2418970217882048,0,0
81,0.25327111442876715,-0.010683760683760684,5.585652731353875,1,3
82,0.33520026807654807,0.0,3.3326432175443883,0,0
83,0.1811494595286099,-0.00854700854700852,10.598793585125039,1,5
84,0.46470467386622205,1.3010426069826053e-17,1.8947078214846762,0,0
85,0.32193455345161964,3.469446951953614e-17,3.5847708692061433,0,0
86,0.4861026069582874,5.204170427930421e-18,1.7604209398186268,0,0
87,0.40748121258038,3.8163916471489756e-17,2.3635138243448526,0,0
88,0.3357109300972333,-3.8163916471489756e-17,3.323530704362777,0,0
89,0.2872722780138791,0.019230769230769214,4.416301896850681,1,1
90,0.5943248532558427,2.0816681711721685e-17,1.288588582866375,0,0
91,0.20837354826525656,-0.008547008547008567,8.09206996236669,1,2
92,0.5596916233214131,1.734723475976807e-17,1.4102460735949562,0,0
93,0.6201094718679485,2.0816681711721685e-17,1.210940725071977,0,0
94,0.477415352437892,2.688821387764051e-17,1.8127656674723127,0,0
95,0.5794027703710555,1.214306433183765e-17,1.3383356064787155,0,0
96,0.5775363526564152,-4.163336342344337e-17,1.3448306013916915,0,0
97,0.5481108411271931,0.0,1.4561600671427808,0,0
98,0.6437577309590256,3.469446951953614e-17,1.147772566001843,0,0
99,0.37767518274511663,2.0816681711721685e-17,2.696317010217562,0,0
100,0.6237936419745754,-2.6020852139652106e-18,1.200625306432603,0,0
101,0.3068604367932585,-1.214306433183765e-17,3.911887940267873,0,0
102,0.13189271639454686,-0.10042735042735045,19.696503436776656,5,8
103,0.44876448483840703,-2.7755575615628914e-17,2.007473142977987,0,0
104,0.6302913414417848,-1.214306433183765e-17,1.1828711000287777,0,0
105,0.17908545912906884,0.05769230769230768,10.836740510216456,2,7
106,0.5401848182113156,-1.474514954580286e-17,1.4893006341390143,0,0
107,0.1490811355528832,-0.04700854700854701,15.489294524240616,4,11
